FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.180,POINT (612471.95399087 7798560.8451473),ESCOLAS_ESTADUAIS.1022.Estadual.ESCOLA ESTADUAL HELENA PENA,1022,ESCOLA ESTADUAL HELENA PENA,Estadual,RUA,GENOVEVA DE SOUZA,691,,Sagrada Família,LESTE
ESCOLAS_ESTADUAIS.181,POINT (608864.36798824 7789344.48237199),ESCOLAS_ESTADUAIS.811.Estadual.ESCOLA ESTADUAL LAR DOS MENINOS,811,ESCOLA ESTADUAL LAR DOS MENINOS,Estadual,RUA,SAO VICENTE,300,,Olhos d'Água,OESTE
ESCOLAS_ESTADUAIS.182,POINT (613326.0136 7797893.86721355),ESCOLAS_ESTADUAIS.1027.Estadual.ESCOLA ESTADUAL SANDOVAL DE AZEVEDO,1027,ESCOLA ESTADUAL SANDOVAL DE AZEVEDO,Estadual,RUA,POUSO ALEGRE,2382,,Santa Tereza,LESTE
ESCOLAS_ESTADUAIS.183,POINT (611694.86224095 7804234.42080326),ESCOLAS_ESTADUAIS.476.Estadual.ESCOLA ESTADUAL DONATO WERNECK DE FREITAS,476,ESCOLA ESTADUAL DONATO WERNECK DE FREITAS,Estadual,RUA,ALCIDES SOUZA,112,,Minaslândia,NORTE
ESCOLAS_ESTADUAIS.184,POINT (615081.94259497 7797334.54780631),ESCOLAS_ESTADUAIS.909.Estadual.ESCOLA ESTADUAL JULIA LOPES DE ALMEIDA,909,ESCOLA ESTADUAL JULIA LOPES DE ALMEIDA,Estadual,RUA,PADRE JULIO MARIA,177,,Saudade,LESTE
ESCOLAS_ESTADUAIS.185,POINT (610381.24219445 7801175.35727139),ESCOLAS_ESTADUAIS.1007.Estadual.ESCOLA ESTADUAL PERO VAZ DE CAMINHA,1007,ESCOLA ESTADUAL PERO VAZ DE CAMINHA,Estadual,RUA,PACAJA,200,,Santa Cruz,NORDESTE
ESCOLAS_ESTADUAIS.186,POINT (610323.33119915 7800368.79713433),ESCOLAS_ESTADUAIS.45.Estadual.ESCOLA ESTADUAL DEPUTADO ILACIR PEREIRA LIMA,45,ESCOLA ESTADUAL DEPUTADO ILACIR PEREIRA LIMA,Estadual,RUA,CONDE SANTA MARINHA,707,,Cachoeirinha,NORDESTE
ESCOLAS_ESTADUAIS.187,POINT (606547.98483949 7807163.15110368),ESCOLAS_ESTADUAIS.933.Estadual.ESCOLA ESTADUAL AFRANIO DE MELO FRANCO,933,ESCOLA ESTADUAL AFRANIO DE MELO FRANCO,Estadual,RUA,DOS COMANCHES,678,,Santa Mônica,VENDA NOVA
ESCOLAS_ESTADUAIS.188,POINT (611950.67371567 7799176.09328453),ESCOLAS_ESTADUAIS.896.Estadual.ESCOLA ESTADUAL SARAH KUBITSCHEK BAIRRO GRACA,896,ESCOLA ESTADUAL SARAH KUBITSCHEK BAIRRO GRACA,Estadual,RUA,JUACEMA,315,,Graça,NORDESTE
ESCOLAS_ESTADUAIS.189,POINT (613126.84883255 7794305.89262322),ESCOLAS_ESTADUAIS.169.Estadual.ESCOLA ESTADUAL DONA ARGENTINA VIANNA CASTELO BRANCO,169,ESCOLA ESTADUAL DONA ARGENTINA VIANNA CASTELO BRANCO,Estadual,RUA,ORIENTE,758,,Serra,CENTRO-SUL
