FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.238,POINT (609108.78084063 7808731.48633543),ESCOLAS_PARTICULARES.2765.Particular.INSTITUTO INFANTIL BALÃO AZUL,2765,INSTITUTO INFANTIL BALÃO AZUL,Particular,RUA,IGNACINHO ALVARENGA,50,,Venda Nova,VENDA NOVA
ESCOLAS_PARTICULARES.239,POINT (605409.69508946 7795111.21870143),ESCOLAS_PARTICULARES.2323.Particular.ESC INF O PEQUENO CONSTRUTOR,2323,ESC INF O PEQUENO CONSTRUTOR,Particular,RUA,GILBERTO PORTO,931,,Nova Gameleira,OESTE
ESCOLAS_PARTICULARES.240,POINT (605469.05692255 7795226.46524333),ESCOLAS_PARTICULARES.2142.Particular.ESCOLA POLITECNICA DE MINAS GERAIS-POLIMIG,2142,ESCOLA POLITECNICA DE MINAS GERAIS-POLIMIG,Particular,RUA,GILBERTO PORTO,817,,Gameleira,OESTE
ESCOLAS_PARTICULARES.241,POINT (611740.3678351 7792807.19767823),ESCOLAS_PARTICULARES.2719.Particular.ARCO ÍRIS EDUCAÇÃO INFANTIL,2719,ARCO ÍRIS EDUCAÇÃO INFANTIL,Particular,RUA,CORREAS,126,,Sion,CENTRO-SUL
ESCOLAS_PARTICULARES.242,POINT (609587.79842748 7809527.70426758),ESCOLAS_PARTICULARES.2752.Particular.CENTRO EDUCACIONAL SABER VIVER,2752,CENTRO EDUCACIONAL SABER VIVER,Particular,RUA,EDGARD TORRES,912,,Minascaixa,VENDA NOVA
ESCOLAS_PARTICULARES.243,POINT (612349.80994117 7797528.74662063),ESCOLAS_PARTICULARES.2005.Particular.COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO,2005,COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO,Particular,RUA,BUENO BRANDAO,151,,Floresta,LESTE
ESCOLAS_PARTICULARES.244,POINT (608803.07440921 7806123.02727971),ESCOLAS_PARTICULARES.2744.Particular.NÚCLEO DE APRENDIZAGEM DA CRIANÇA,2744,NÚCLEO DE APRENDIZAGEM DA CRIANÇA,Particular,RUA,MONTESE,109,,Itapoã,PAMPULHA
ESCOLAS_PARTICULARES.245,POINT (603214.80800892 7788617.78042197),ESCOLAS_PARTICULARES.2723.Particular.CRIANÇAS PEQUENINAS,2723,CRIANÇAS PEQUENINAS,Particular,RUA,TELESCOPIO,383,,Miramar,BARREIRO
ESCOLAS_PARTICULARES.246,POINT (611964.75375008 7798481.96259628),ESCOLAS_PARTICULARES.2093.Particular.ESCOLA POLITECNICA DE MINAS GERAIS POLIMIG- UNIDADE FLORESTA,2093,ESCOLA POLITECNICA DE MINAS GERAIS POLIMIG- UNIDADE FLORESTA,Particular,RUA,SOUZA BASTOS,186,,Floresta,LESTE
ESCOLAS_PARTICULARES.247,POINT (607680.93868819 7809018.01801274),ESCOLAS_PARTICULARES.2587.Particular.CENTRO INFANTIL DONA LUZIA CEDRO,2587,CENTRO INFANTIL DONA LUZIA CEDRO,Particular,RUA,PEDRA DA LUA,200,,Candelária,VENDA NOVA
